pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331812.62323,1.00134,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,27,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331812.88233,1.00080,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,29,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331813.14508,1.00014,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,28,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331813.59100,1.00102,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,30,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331813.62414,1.00091,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,28,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331813.88283,1.00050,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,30,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331814.14593,1.00085,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,29,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331814.59206,1.00106,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,31,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331814.62519,1.00105,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,29,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331814.88306,1.00023,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,31,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331815.14633,1.00040,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,30,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331815.59276,1.00070,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,32,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331815.62589,1.00070,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,30,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331815.88368,1.00062,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,32,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331816.14729,1.00096,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,31,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331816.59342,1.00066,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,33,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331816.62770,1.00181,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,31,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331816.88342,0.99974,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,33,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331817.14781,1.00052,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,32,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331817.59479,1.00137,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,34,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331817.62704,0.99934,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,32,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331817.88368,1.00026,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,34,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331818.14821,1.00040,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,33,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331818.59444,0.99965,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,35,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
